,sklearn_accuracy_mean,sklearn_f1_score_mean,sklearn_model_1,sklearn_precision_mean,sklearn_recall_mean,sklearn_time_mean,sklearn_e_accuracy_mean,sklearn_e_f1_score_mean,sklearn_e_model_1,sklearn_e_precision_mean,sklearn_e_recall_mean,sklearn_e_time_mean,sklearn_m_accuracy_mean,sklearn_m_f1_score_mean,sklearn_m_model_1,sklearn_m_precision_mean,sklearn_m_recall_mean,sklearn_m_time_mean,sklearn_v_accuracy_mean,sklearn_v_f1_score_mean,sklearn_v_model_1,sklearn_v_precision_mean,sklearn_v_recall_mean,sklearn_v_time_mean,autoweka_accuracy_mean,autoweka_f1_score_mean,autoweka_model_1,autoweka_precision_mean,autoweka_recall_mean,autoweka_time_mean,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_mean,tpot_f1_score_mean,tpot_model_1,tpot_precision_mean,tpot_recall_mean,tpot_time_mean
dataset_42_soybean,0.9181286549707602,0.897033196016862,adaboost,0.8872152322444721,0.9181286549707602,,0.912280701754386,0.8912807919185932,adaboost,0.879350181981761,0.912280701754386,,0.912280701754386,0.9011310628971804,gradient_boosting,0.905444458076037,0.912280701754386,,0.9005847953216374,0.8833106525923474,libsvm_svc,0.8925759317572182,0.9005847953216374,,0.901840491,0.89740228,trees.RandomForest,0.911055305,0.901840491,,,,,,,,,,,,,,naiveBayes,0.619140625,"0.60233918128655
",0.912280701754386,0.8920335215059094,None,0.8791379854995416,0.912280701754386,
dataset_44_spambase,0.959455545902114,0.9593338754603274,adaboost,0.9595214168048716,0.959455545902114,,0.9571387199536634,0.9570331945675508,sgd,0.9572503389315328,0.9571387199536634,,0.9545322907616566,0.9543946486160152,gradient_boosting,0.9545703009054864,0.9545322907616566,,0.9545322907616559,0.954380595160308,gradient_boosting,0.954676692161268,0.9545322907616559,,0.944396177,0.944102395,trees.RandomForest,0.944682703,0.944396177,,0.936231884057971,0.936131139991077,0.936231884057971,0.9360899264321803,0.9736231884057971,0.973680101708155,0.9736231884057971,0.973641344536645,0.9548218940052129,0.9547656815938378,0.9548218940052129,0.954766549791703,randomForest,0.985797101449275,"0.958297132927889
",0.9577179264407758,0.9576166305717052,None,0.9577572620124976,0.9577179264407758,
dataset_54_vehicle,0.8443396226415094,0.8433223422125595,adaboost,0.8427157237498996,0.8443396226415094,,0.8160377358490566,0.8129489822053639,adaboost,0.8148145481290229,0.8160377358490566,,0.8349056603773585,0.8342134971377255,lda,0.8335953878406709,0.8349056603773585,,0.8066037735849056,0.8022023456470644,gradient_boosting,0.8062009199437141,0.8066037735849056,,0.0,0.0,None,0.0,0.0,,,,,,,,,,,,,,rda,0.865930599369085,"0.834905660377358
",0.8066037735849056,0.8016627662947395,None,0.8023179876902825,0.8066037735849056,
dataset_59_ionosphere,0.9318181818181818,0.9300249721056264,gradient_boosting,0.93841642228739,0.9318181818181818,,0.9318181818181818,0.9300249721056264,lda,0.9384164222873901,0.9318181818181818,,0.9659090909090908,0.9655154538974924,gradient_boosting,0.9676425269645608,0.9659090909090908,,0.9090909090909092,0.9076280041797282,passive_aggressive,0.9103896103896104,0.9090909090909092,,0.943181818,0.941988332,functions.SMO,0.9478390459999999,0.943181818,,,,,,,,,,,,,,rda,0.935361216730038,"0.909090909090909
",0.9204545454545454,0.91790974763111,None,0.9292929292929292,0.9204545454545454,
dataset_60_waveform-5000,0.8592000000000001,0.8589068637370411,lda,0.8596775493386667,0.8592000000000001,,0.8704000000000001,0.8700131822052416,sgd,0.8711552235876542,0.8704000000000001,,0.8672,0.8670486302798261,sgd,0.8673811411060847,0.8672,,0.862933333333333,0.8627267666360829,gradient_boosting,0.863349082398009,0.862933333333333,,0.8616,0.861602607,functions.Logistic,0.8616561509999999,0.8616,,0.8622222222222222,0.8641835248907442,0.8622222222222222,0.8612922115620714,0.9101333333333333,0.9133511687346477,0.9101333333333333,0.9096377622373392,0.8688,0.869356917615018,0.8688,0.8683525697488798,randomForest,0.999733333333333,"0.8504
",,,None,,,
dataset_61_iris,0.9649122807017544,0.9653833934014436,lda,0.9698564593301436,0.9649122807017544,,0.9824561403508772,0.982748538011696,gaussian_nb,0.985645933014354,0.9824561403508772,,0.9649122807017544,0.9653833934014436,gaussian_nb,0.9698564593301436,0.9649122807017544,,0.964912280701754,0.9653833934014441,lda,0.9698564593301428,0.964912280701754,,0.9649122809999999,0.964899484,trees.REPTree,0.9681704259999999,0.9649122809999999,,0.9705882352941176,0.9726890756302521,0.9705882352941176,0.9703589037954363,0.9821428571428571,0.9829734219269104,0.9821428571428571,0.982084879406308,0.7368421052631579,0.7791537667698659,0.7368421052631579,0.7121259029927761,naiveBayes,0.946428571428571,"0.973684210526316
",0.9649122807017544,0.9653833934014436,None,0.9698564593301436,0.9649122807017544,
dataset_6_letter,0.9644,0.9644098928888856,lda,0.9646577168595408,0.9644,,0.9502,0.9502090842385904,lda,0.9505768367777316,0.9502,,0.9616,0.9616165886596036,extra_trees,0.961812367434642,0.9616,,0.951,0.9510166165040641,random_forest,0.951389685071472,0.951,,0.935,0.9351028579999999,trees.RandomForest,0.935594452,0.935,,,,,,,,,,,,,,svm,0.989466666666667,"0.972
",,,None,,,
dataset_9_autos,0.8076923076923076,0.8058552558552559,gradient_boosting,0.8140240070387129,0.8076923076923076,,0.8076923076923078,0.8072379220505407,adaboost,0.8276748306160071,0.8076923076923078,,0.8205128205128206,0.8203742494065075,gradient_boosting,0.830115635997989,0.8205128205128206,,0.8076923076923079,0.8118558883645091,gradient_boosting,0.8307814776140571,0.8076923076923079,,0.762820513,0.762068575,trees.RandomForest,0.7693393070000001,0.762820513,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,naiveBayes,0.202614379084967,0.134615384615385,0.6410256410256411,0.6520466461642932,None,0.6851867045305959,0.6410256410256411,
devnagari,0.8862173913043478,0.8859810285320476,random_forest,0.8877382841777232,0.8862173913043478,,0.8864202898550725,0.8862042704969003,random_forest,0.888214371664677,0.8864202898550725,,0.8862173913043478,0.8859810285320476,random_forest,0.8877382841777232,0.8862173913043478,,0.886217391304348,0.885981028532048,random_forest,0.887738284177723,0.886217391304348,,0.0,0.0,None,0.0,0.0,,0.5584541062801932,0.5571688710272914,0.5584541062801932,0.5573236455125329,1.0,1.0,1.0,1.0,0.5857391304347827,0.586966314983441,0.5857391304347827,0.5857984346769778,svm,1,"0.406478260869565
",,,None,,,
electricity-normalized,0.9148717043314502,0.9149648540315736,sgd,0.91516045933242,0.9148717043314502,,0.8955096516007534,0.8952147909165009,adaboost,0.8955684716383601,0.8955096516007534,,0.9151659604519774,0.9152954445678948,gradient_boosting,0.9156230098842468,0.9151659604519774,,0.890625,0.89043995158536,random_forest,0.8904364513165541,0.890625,,0.734375,0.735165733,trees.RandomForest,0.73666638,0.734375,,0.8586700666928208,0.8604676317440034,0.8586700666928208,0.8590943236980554,0.8855049435028248,0.8869009935717647,0.8855049435028248,0.8858167557650451,0.80420197740113,0.8187251829378933,0.80420197740113,0.7965238468928802,randomForest,0.995056497175141,"0.916754943502825
",,,None,,,
