dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
dataset_61_iris,0.9736842105263156,0.9736842105263156,0.9473684210526316,0.9649122807017544,0.012405382126079716,,,,0.9739522830846216,0.9739522830846216,0.9467938852980404,0.964899483822428,0.012802591494035441,"best classifier: weka.classifiers.trees.RandomTree
arguments: [-M, 9, -K, 5, -depth, 14, -N, 0, -U]","best classifier: weka.classifiers.lazy.LWL
arguments: [-U, 1, -A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.functions.SMO, --, -C, 1.2721556469899071, -N, 2, -K, weka.classifiers.functions.supportVector.RBFKernel -G 0.045930179827601746]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 5, -P, 0.5189339083860127, -S, 1, -W, weka.classifiers.functions.Logistic, --, -R, 7.337910468717164E-11]",0.9763157894736842,0.9763157894736842,0.9518796992481204,0.9681704260651628,0.011519283402788374,0.9736842105263158,0.9736842105263158,0.9473684210526316,0.9649122807017544,0.01240538212607982,3008.0,3016.0,3009.0
dataset_6_letter,0.9598,,,0.9598,0.0,,,,0.9598910433084938,,,0.9598910433084938,0.0,"best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 100, -I, 10, -Q, -S, 1, -W, weka.classifiers.trees.RandomForest, --, -I, 43, -K, 0, -depth, 20]",,,0.9602684915036568,,,0.9602684915036568,0.0,0.9598,,,0.9598,0.0,3384.0,,
dataset_9_autos,0.8461538461538461,0.8076923076923077,0.8076923076923077,0.8205128205128206,0.01813094310734736,,,,0.8476107226107226,0.8093240093240094,0.8093240093240094,0.8220862470862471,0.018048529729586645,"best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 55, -P, 0.8821103879425356, -S, 1, -W, weka.classifiers.lazy.KStar, --, -B, 53, -M, m]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 2, -P, 0.8790436839902233, -S, 1, -W, weka.classifiers.lazy.KStar, --, -B, 37, -M, a]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 2, -P, 0.8790436839902233, -S, 1, -W, weka.classifiers.lazy.KStar, --, -B, 37, -M, a]",0.8571428571428571,0.8182975113122171,0.8182975113122171,0.8312459599224304,0.01831187163625476,0.8461538461538461,0.8076923076923077,0.8076923076923077,0.8205128205128206,0.01813094310734736,3023.0,3394.0,3424.0
devnagari,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,3960.0,3960.0
electricity-normalized,0.734375,0.734375,0.734375,0.734375,0.0,,,,0.7351657331802173,0.7351657331802173,0.7351657331802173,0.7351657331802173,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.7366663797955862,0.7366663797955862,0.7366663797955862,0.7366663797955862,0.0,0.734375,0.734375,0.734375,0.734375,0.0,3234.0,3299.0,3041.0
eye_movements,0.3840526700804682,0.3840526700804682,0.3840526700804682,0.3840526700804682,0.0,,,,0.3842831676331424,0.3842831676331424,0.3842831676331424,0.3842831676331424,0.0,"best classifier: weka.classifiers.rules.OneR
arguments: [-B, 1]","best classifier: weka.classifiers.rules.OneR
arguments: [-B, 1]","best classifier: weka.classifiers.rules.OneR
arguments: [-B, 1]",0.3859463031335261,0.3859463031335261,0.3859463031335261,0.3859463031335261,5.551115123125783e-17,0.3840526700804682,0.3840526700804682,0.3840526700804682,0.3840526700804682,5.551115123125783e-17,3057.0,3035.0,3015.0
gina_agnostic,0.8881199538638985,,,0.8881199538638985,0.0,,,,0.8880718926679165,,,0.8880718926679165,0.0,"best classifier: weka.classifiers.functions.SMO
arguments: [-C, 0.7127949742291734, -N, 0, -M, -K, weka.classifiers.functions.supportVector.PolyKernel -E 1.1133446901320447 -L]",,,0.8881399637530223,,,0.8881399637530223,0.0,0.8881199538638985,,,0.8881199538638985,0.0,3486.0,,
hiva_agnostic,0.9631379962192816,0.9631379962192816,0.9631379962192816,0.9631379962192816,1.1102230246251563e-16,,,,0.9552780093016628,0.9552780093016628,0.9552780093016628,0.9552780093016628,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.057140274761388915]","best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.057140274761388915]","best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.057140274761388915]",0.9535257602255368,0.9535257602255368,0.9535257602255368,0.9535257602255368,0.0,0.9631379962192816,0.9631379962192816,0.9631379962192816,0.9631379962192816,1.1102230246251563e-16,3219.0,3208.0,3228.0
ipums_la_99-small,0.8504398826979472,0.8504398826979472,0.8504398826979472,0.8504398826979472,0.0,,,,0.7817038541439134,0.7817038541439134,0.7817038541439134,0.7817038541439135,1.1102230246251563e-16,"best classifier: weka.classifiers.functions.MultilayerPerceptron
arguments: [-L, 0.4429204725707817, -M, 0.9839364385691872, -B, -H, i, -C, -D, -S, 1]","best classifier: weka.classifiers.functions.MultilayerPerceptron
arguments: [-L, 0.4429204725707817, -M, 0.9839364385691872, -B, -H, i, -C, -D, -S, 1]","best classifier: weka.classifiers.functions.MultilayerPerceptron
arguments: [-L, 0.4429204725707817, -M, 0.9839364385691872, -B, -H, i, -C, -D, -S, 1]",0.7232479940832982,0.7232479940832982,0.7232479940832982,0.7232479940832982,0.0,0.8504398826979472,0.8504398826979472,0.8504398826979472,0.8504398826979472,0.0,3604.0,3650.0,3600.0
jm1,0.8104335047759001,,,0.8104335047759001,0.0,,,,0.7662090585710354,,,0.7662090585710354,0.0,"best classifier: weka.classifiers.lazy.IBk
arguments: [-E, -K, 23, -I]",,,0.7717273163487234,,,0.7717273163487234,0.0,0.8104335047759001,,,0.8104335047759001,0.0,3403.0,,
